2Theta_deg,Intensity_cps
15.99443,171.04
16.00514,171.2
16.01586,170.98
16.02658,171.12
16.03729,171.18
16.04801,171.02
16.05872,171.0
16.06944,171.26
16.08015,171.12
16.09087,171.06
16.10159,170.62
16.1123,170.92
16.12302,171.12
16.13373,171.08
16.14445,171.14
16.15517,171.14
16.16588,171.0
16.1766,171.18
16.18731,171.18
16.19803,171.12
16.20874,171.14
16.21946,170.88
16.23018,171.22
16.24089,170.66
16.25161,170.84
16.26232,171.08
16.27304,171.04
16.28375,171.12
16.29447,171.02
16.30519,170.96
16.3159,171.02
16.32662,171.14
16.33733,171.1
16.34805,171.02
16.35877,171.08
16.36948,171.18
16.3802,171.22
16.39091,170.96
16.40163,171.18
16.41234,171.14
16.42306,171.0
16.43378,170.88
16.44449,171.2
16.45521,171.3
16.46592,171.08
16.47664,171.14
16.48736,171.1
16.49807,171.26
16.50879,171.4
16.5195,171.32
16.53022,171.55
16.54093,171.65
16.55165,171.72
16.56237,171.71
16.57308,171.78
16.5838,172.01
16.59451,172.24
16.60523,172.53
16.61595,172.5
16.62666,172.84
16.63738,172.9
16.64809,172.76
16.65881,172.66
16.66952,172.69
16.68024,172.48
16.69096,172.57
16.70167,172.37
16.71239,172.26
16.7231,172.02
16.73382,171.9
16.74453,171.81
16.75525,171.57
16.76597,171.54
16.77668,171.55
16.7874,171.22
16.79811,170.9
16.80883,171.02
16.81955,171.04
16.83026,170.96
16.84098,170.94
16.85169,171.16
16.86241,170.74
16.87312,170.92
16.88384,171.18
16.89456,171.02
16.90527,171.14
16.91599,170.98
16.9267,171.36
16.93742,171.1
16.94814,170.96
16.95885,171.24
16.96957,171.02
16.98028,170.76
16.991,170.94
17.00171,170.98
17.01243,170.82
17.02315,171.08
17.03386,171.42
17.04458,171.3
17.05529,171.24
17.06601,170.98
17.07673,171.04
17.08744,170.98
17.09816,170.92
17.10887,171.36
17.11959,171.04
17.1303,170.86
17.14102,171.16
17.15174,171.06
17.16245,171.04
17.17317,171.08
17.18388,171.1
17.1946,171.04
17.20532,171.12
17.21603,171.08
17.22675,171.32
17.23746,171.38
17.24818,171.12
17.25889,171.14
17.26961,171.28
17.28033,170.96
17.29104,170.94
17.30176,170.98
17.31247,170.9
17.32319,171.16
17.3339,171.22
17.34462,171.1
17.35534,171.18
17.36605,171.2
17.37677,171.32
17.38748,171.14
17.3982,171.34
17.40892,171.16
17.41963,171.04
17.43035,171.06
17.44106,171.22
17.45178,171.18
17.46249,170.98
17.47321,171.08
17.48393,171.02
17.49464,170.82
17.50536,170.72
17.51607,171.0
17.52679,171.06
17.53751,170.9
17.54822,170.84
17.55894,171.0
17.56965,171.08
17.58037,170.88
17.59108,170.9
17.6018,171.18
17.61252,170.92
17.62323,170.88
